conversation_id,utterance_id,utterance,groundtruth,caller
0,0,"가정용 컴퓨터, 하",EE,L
1,0,이게 마지막이야.,ED,L
1,1,이것이 너의 마지막 것이니?,RQ,R
1,3,이것은 나의 세번째 것이야,EE,R
1,5,한 번은 지난번의 옐로카드를 잊어버린 적이 있다.,DE,L
1,8,네. 내것은 산산조각이 날 뻔했다,EE,R
1,10,나는 그것을 세탁기에 넣었다.,DE,L
1,13,그들이 이제 다 읽을 수 있을지 궁금하다.,DD,L
1,15,다른 사람들은 뭘 했니?,QQ,R
1,16,아.,KK,L
1,17,내가 그것의 번호를 매겼어.,DE,L
1,18,너 그거 했니?,QQ,L
1,19,황금 시간,EE,L
1,21,아니 난 그러지 않았어.,KK,R
1,22,나도 몰라.,DD,L
1,23,다른 하나는 컴퓨터 스크린에도 있었다.,EE,L
1,25,...하려고 하는 중... 아.,EE,L
1,27,네가 선생님 같았던 곳,QE,L
1,28,그리고 두 가지 다른 반응을 보여야 했다구 ?,RQ,L
1,30,첫 장면?,QQ,R
1,31,네.,KE,L
1,32,그래  내가 그랬어.,KK,R
1,33,난 그게 좋아... 아 넘버 원,DD,L
1,35,다른 하나는..,EE,R
1,36,그들은 당신의 기억을 검사한다.,EE,L
1,37,너 추가 항목도 했니?,QQ,R
1,39,아뇨,KE,L
1,40,우리 반의 한 여학생이 방금 그것에 대해 말해주고 있었다.,EE,L
1,43,음...,KK,R
1,44,그것도 기억나는군,ED,R
1,45,아니니?,QQ,R
1,46,"약간,  하지만 더..",EE,L
1,47,"그래,  맞아",KK,L
1,48,저는 아무것도 몰라요.,DD,L
1,49,이번 일 말이야. 그렇지?,QQ,L
1,50,나도 몰라.,DD,R
1,51,"시카고로 돌아가서, 그들은 취소했다.",EE,L
1,53,직항편이 있었다.,EE,L
1,54,비행기로 돌아오다 그리고.,DE,L
1,55,나는 그것을 취소했다.,DE,L
1,56,우리는 육지로 가야만 했다.,CE,L
1,57,그리고 다시 방송에 나왔지,CE,L
1,58,어.,KK,R
1,59,"우리가 착륙했을 때, 새벽 2시 45분쯤이었다.",EE,L
1,62,이런,KK,R
1,63,늦었어.,EE,L
1,64,그냥 앉아서 그냥...,DE,L
1,65,그것은 가장 무서웠다.,ED,L
1,66,비행. 특히 그렇게.,ED,L
1,68,시카고까지 가는데 2시간이 걸린다.,EE,L
1,70,10분쯤 후에 돌아올 것이다.,EE,L
1,72,거기는 아직도 꽤 서늘하니?,QQ,R
1,74,시카고?,QQ,L
1,75,"그래,  그렇습니다.",KE,L
1,79,우리가 어제 그곳에 있었던 날은 꽤 괜찮았다.,ED,L
1,80,아직 여름은 아니다.,EE,L
1,83,육십 마일,EE,L
1,84,시카고의 서쪽,EE,L
1,85,나는 할머니를 뵈러 갔다.,DE,L
1,87,나는 그 이후로 그녀를 보지 못 했다.,DE,L
1,89,음...,KK,R
1,90,아직 정신을 바짝 차리고 있어,EE,L
1,91,아직도 쓰고 있다,EE,L
1,92,몇 주마다. 너도 알잖아.,RE,L
